"Surveillance_system","Collection_year","Collection_week","Pool_No","ID","Species","Pool_size","Life_stage_E_L_P_A","Sex_F_M","Location","Code","USUV","WNV"
"BRS",2020,34,"56","","Culex pipiens/torrentium",3,"A","F","Zwarte Meer","ZWM20W34P1",0,0
"BRS",2020,40,"57","","Culex pipiens/torrentium",1,"A","F","Zwarte Meer","ZWM20W40P1",0,0
"BRS",2020,29,"58","","Culex pipiens/torrentium",8,"A","F","Almere_De Vaarten","ADV20W29P1",0,0
"BRS",2020,30,"59","","Culex pipiens/torrentium",10,"A","F","Almere_De Vaarten","ADV20W30P1",0,0
"BRS",2020,30,"60","","Culex pipiens/torrentium",10,"A","F","Almere_De Vaarten","ADV20W30P2",0,0
"BRS",2020,30,"61","","Culex pipiens/torrentium",10,"A","F","Almere_De Vaarten","ADV20W30P3",0,0
"BRS",2020,30,"62","","Culex pipiens/torrentium",2,"A","F","Almere_De Vaarten","ADV20W30P4",0,0
"BRS",2020,34,"63","","Culex pipiens/torrentium",10,"A","F","Almere_De Vaarten","ADV20W34P1",0,0
"BRS",2020,34,"64","","Culex pipiens/torrentium",10,"A","F","Almere_De Vaarten","ADV20W34P2",0,0
"BRS",2020,34,"65","","Culex pipiens/torrentium",10,"A","F","Almere_De Vaarten","ADV20W34P3",0,0
"BRS",2020,34,"66","","Culex pipiens/torrentium",6,"A","F","Almere_De Vaarten","ADV20W34P4",0,0
"BRS",2020,35,"67","","Culex pipiens/torrentium",4,"A","F","Almere_De Vaarten","ADV20W35P1",0,0
"BRS",2020,36,"68","","Culex pipiens/torrentium",10,"A","F","Almere_De Vaarten","ADV20W36P1",0,0
"BRS",2020,36,"69","","Culex pipiens/torrentium",5,"A","F","Almere_De Vaarten","ADV20W36P2",0,0
"BRS",2020,27,"70","","Culex pipiens/torrentium",2,"A","F","Overdinkel","OVD20W27P1",0,0
"BRS",2020,29,"71","","Culex pipiens/torrentium",10,"A","F","Overdinkel","OVD20W29P1",0,0
"BRS",2020,29,"72","","Culex pipiens/torrentium",10,"A","F","Overdinkel","OVD20W29P2",0,0
"BRS",2020,29,"73","","Culex pipiens/torrentium",10,"A","F","Overdinkel","OVD20W29P3",0,0
"BRS",2020,29,"74","","Culex pipiens/torrentium",10,"A","F","Overdinkel","OVD20W29P4",0,0
"BRS",2020,29,"75","","Culex pipiens/torrentium",10,"A","F","Overdinkel","OVD20W29P5",0,0
"BRS",2020,29,"76","","Culex pipiens/torrentium",4,"A","F","Overdinkel","OVD20W29P6",0,0
"BRS",2020,35,"77","","Culex pipiens/torrentium",8,"A","F","Overdinkel","OVD20W35P1",0,0
"BRS",2020,30,"78","","Culex pipiens/torrentium",10,"A","F","Overdinkel","OVD20W30P1",0,0
"BRS",2020,30,"79","","Culex pipiens/torrentium",10,"A","F","Overdinkel","OVD20W30P2",0,0
"BRS",2020,30,"80","","Culex pipiens/torrentium",1,"A","F","Overdinkel","OVD20W30P3",0,0
"BRS",2020,34,"81","","Culex pipiens/torrentium",1,"A","F","Overdinkel","OVD20W34P1",0,0
"BRS",2020,28,"82","","Culex pipiens/torrentium",1,"A","F","Almen","ALM20W28P1",0,0
"BRS",2020,29,"83","","Culex pipiens/torrentium",8,"A","F","Almen","ALM20W29P1",0,0
"BRS",2020,30,"84","","Culex pipiens/torrentium",2,"A","F","Almen","ALM20W30P1",0,0
"BRS",2020,31,"85","","Culex pipiens/torrentium",10,"A","F","Almen","ALM20W31P1",0,0
"BRS",2020,31,"86","","Culex pipiens/torrentium",10,"A","F","Almen","ALM20W31P2",0,0
"BRS",2020,33,"87","","Culex pipiens/torrentium",10,"A","F","Almen","ALM20W33P1",0,0
"BRS",2020,33,"88","","Culex pipiens/torrentium",10,"A","F","Almen","ALM20W33P2",0,0
"BRS",2020,33,"89","","Culex pipiens/torrentium",10,"A","F","Almen","ALM20W33P3",0,0
"BRS",2020,33,"90","","Culex pipiens/torrentium",10,"A","F","Almen","ALM20W33P4",0,0
"BRS",2020,33,"91","","Culex pipiens/torrentium",6,"A","F","Almen","ALM20W33P5",0,0
"BRS",2020,34,"92","","Culex pipiens/torrentium",7,"A","F","Almen","ALM20W34P1",0,0
"BRS",2020,37,"93","","Culex pipiens/torrentium",2,"A","F","Almen","ALM20W37P1",0,0
"BRS",2020,27,"94","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W27P1",0,0
