INSDC Sequence accession,UniqueID/Isolate,ID,Wild_Cap,location,postal.code,Lat,Long,English,Latin,family,order,NSamplesTested,BirdUSUV,BirdTestedWNV,DateInfo,DeathOrSampleDate
,,3210607043,Captive,Bennekom,6721,52.0015947,5.6756511,Choco Toucan,Ramphastos brevis,Ramphastidae,Piciformes,1,0,TRUE,DateDeath,05-06-2021
,,3210611021,Captive,Utrecht,3584,52.0907006,5.1215634,Rock Pigeon,Columba livia domestica,Columbidae,Columbiformes,1,0,TRUE,DateSampling,11-06-2021
,,3210623005,Captive,Nieuwegein,3435,52.0298704,5.092933378,Lovebird,Agapornis (genus),Psittaculidae,Psittaciformes,1,0,TRUE,DateDeath,22-06-2021
,,3210707001,Captive,Dordrecht,3328,51.7689546,4.686789054,Common Canary,Serinus canaria,Fringillidae,Passeriformes,1,0,TRUE,DateDeath,05-07-2021
,,3210716050,Captive,Rotterdam,,51.9244424,4.47775,Snowy Owl,Bubo scandiacus,Strigidae,Strigiformes,1,0,TRUE,DateSampling,16-07-2021
,,3210729002,Captive,Meerstad,9613,53.2238932,6.657085196,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateSampling,29-07-2021
,,3210810026,Captive,Erica,7887,52.7158137,6.926866,Blue-naped Parrot,Tanygnathus lucionensis,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,07-08-2021
,,3210810027,Captive,Erica,7887,52.7158137,6.926866,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,07-08-2021
,,3210810028,Captive,Sassenheim,2171,52.2246356,4.5199218,Java Sparrow,Padda oryzivora,Passeridae,Passeriformes,1,0,TRUE,DateDeath,09-08-2021
,,3210818021,Captive,Erica,7887,52.7158137,6.926866,Yellow-crowned Parrot,Amazona ochrocephala,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,15-08-2021
,,3210818023,Captive,Erica,7887,52.7158137,6.926866,Southern Mealy Amazon,Amazona farinosa,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,17-08-2021
,,3210820005,Captive,Den Haag,2548,52.0799838,4.3113461,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,20-08-2021
,,3210831019,Captive,Geesbrug,7917,52.7282834,6.6338274,Common Canary,Serinus canaria,Fringillidae,Passeriformes,5,0,TRUE,DateDeath,24-08-2021
