INSDC Sequence accession,UniqueID/Isolate,ID,Wild_Cap,location,postal.code,Lat,Long,English,Latin,family,order,NSamplesTested,BirdUSUV,BirdTestedWNV,DateInfo,DeathOrSampleDate
,,3200131022,Captive,Utrecht,3584,52.0907006,5.1215634,Crested Partridge,Rollulus rouloul,Phasianidae,Galliformes,1,0,TRUE,DateDeath,30-01-2020
,,3200309026,Captive,Lelystad,8226,52.53668095,5.361043525,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,06-03-2020
,,3200324002,Captive,Den Haag,2583,52.0799838,4.3113461,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateSampling,24-03-2020
,,3200406002,Captive,Schoonebeek,7761,52.6642696,6.8847692,Budgerigar,Melopsittacus undulatus,Psittaculidae,Psittaciformes,1,0,TRUE,DateDeath,03-04-2020
,,3200421003,Captive,Feanwalden,9269,53.2371902,5.9944367,Gouldian Finch,Chloebia gouldiae,Passeridae,Passeriformes,1,0,TRUE,DateDeath,20-04-2020
,,3200423004,Captive,Erica,7887,52.7158137,6.926866,Opal-rumped Tanager,Tangara velia,Thraupidae,Passeriformes,1,0,TRUE,DateDeath,21-04-2020
,,3200422036,Captive,Utrecht,3584,52.0907006,5.1215634,Rock Pigeon,Columba livia domestica,Columbidae,Columbiformes,1,0,TRUE,DateSampling,22-04-2020
,,3200504024,Captive,Leiden,2332,52.1518157,4.481108866,Lovebird,Agapornis (genus),Psittaculidae,Psittaciformes,1,0,TRUE,DateDeath,04-05-2020
,,3200514004,Captive,Almere,1328,52.3705038,5.2185859,Kakariki,Cyanoramphus (genus),Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,13-05-2020
,,3200520056,Captive,Eindhoven,5651,51.4392648,5.478633,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateDeath,17-05-2020
,,3200520006,Captive,Erica,7887,52.7158137,6.926866,Senegal Parrot,Poicephalus senegalus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,19-05-2020
,,3200512006,Captive,Leidschendam,2263,52.0861654,4.3946774,Parrot,Psittaciformes (order),Unknown,Psittaciformes,1,0,TRUE,DateDeath,20-05-2020
,,3200526002,Captive,Amsterdam,1103,52.3730796,4.8924534,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateDeath,25-05-2020
,,3200528027,Captive,Almere,1323,52.3705038,5.2185859,Cockatiel,Nymphicus hollandicus,Cacatuidae,Psittaciformes,1,0,TRUE,DateDeath,28-05-2020
,,3200602001,Captive,Utrecht,3584,52.0907006,5.1215634,Zebra Finch,Taeniopygia (genus),Estrildidae,Passeriformes,1,0,TRUE,DateDeath,01-06-2020
,,3200608031,Captive,Ede,6717,52.07168255,5.745510631,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,07-06-2020
,,3200626029,Captive,Almere,1324,52.3705038,5.2185859,Blue-breasted Quail,Synoicus chinensis,Phasianidae,Galliformes,1,0,TRUE,DateDeath,25-06-2020
,,3200630013,Captive,Utrecht,3584,52.0907006,5.1215634,Rock Pigeon,Columba livia domestica,Columbidae,Columbiformes,1,0,TRUE,DateDeath,29-06-2020
,,3200702001,Captive,Ederveen,6744,52.0613055,5.5775905,Parrot,Psittaciformes (order),Unknown,Psittaciformes,1,0,TRUE,DateDeath,01-07-2020
,,3200713041,Captive,Almere,1323,52.3705038,5.2185859,Cockatiel,Nymphicus hollandicus,Cacatuidae,Psittaciformes,1,0,TRUE,DateDeath,12-07-2020
,,3200713047,Captive,Purmerend,1442,52.5024789,4.9614827,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateDeath,12-07-2020
,,3200713048,Captive,Purmerend,1442,52.5024789,4.9614827,Budgerigar,Melopsittacus undulatus,Psittaculidae,Psittaciformes,1,0,TRUE,DateDeath,12-07-2020
,,3200716002,Captive,Utrecht,3584,52.0907006,5.1215634,Crested Partridge,Rollulus rouloul,Phasianidae,Galliformes,1,0,TRUE,DateDeath,15-07-2020
,,3200724032,Captive,Emmen,7887,52.75286615,6.952513466,Budgerigar,Melopsittacus undulatus,Psittaculidae,Psittaciformes,1,0,TRUE,DateDeath,22-07-2020
,,3200730021,Captive,Den Haag,2591,52.0799838,4.3113461,Barred Parakeet,Bolborhynchus lineola,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,27-07-2020
,,NoID_054,Captive,Unknown,,NA,NA,Great Grey Owl,Strix nebulosa,Strigidae,Strigiformes,5,1,TRUE,DateDeath,24-08-2020
,,3200903006,Captive,Erica,7887,52.7158137,6.926866,Senegal Parrot,Poicephalus senegalus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,02-09-2020
,,3200903008,Captive,Erica,7887,52.7158137,6.926866,Rose-crowned Parakeet,Pyrrhura rhodocephala,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,02-09-2020
,,3200928007,Captive,Utrecht,,52.0907006,5.1215634,Harris's Hawk,Parabuteo unicinctus,Accipitridae,Accipitriformes,1,0,TRUE,DateSampling,28-09-2020
,,3201009002,Captive,Marum,9363,53.1442439,6.2647308,Common Canary,Serinus canaria,Fringillidae,Passeriformes,1,0,TRUE,DateDeath,08-10-2020
