Row,INSDC Sequence accession,ID,applicant,DeathOrSampleDate,DateInfo,English,Dutch,Latin,family,order,location,province,Lat,Long,BirdUSUV,BirdTestedWNV
960,,AS20222381,DWHC,07-11-2022,DateFound,Common Wood Pigeon,Houtduif,Columba palumbus,Columbidae,Columbiformes,Amersfoort,Utrecht,52.2,5.37,0,TRUE
961,,AS20222433,DWHC,08-11-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Geesbrug,Drenthe,52.73,6.61,0,TRUE
962,,AS20222371,DWHC,09-11-2022,DateFound,Northern Goshawk,Havik,Accipiter gentilis,Accipitridae,Accipitriformes,Groesbeek,Gelderland,51.76,5.89,0,TRUE
963,,AS20222401,DWHC,10-11-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Herwijnen,Gelderland,51.83,5.11,1,TRUE
964,,AS20222426,DWHC,11-11-2022,DateFound,Eurasian Woodcock,Houtsnip,Scolopax rusticola,Scolopacidae,Charadriiformes,Utrecht,Utrecht,52.1,5.05,0,TRUE
965,,AS20222366,DWHC,14-11-2022,DateFound,Common Chaffinch,Vink,Fringilla coelebs,Fringillidae,Passeriformes,Rosmalen,Brabant,51.71,5.37,0,TRUE
966,,AS20222416,DWHC,14-11-2022,DateFound,Common Starling,Spreeuw,Sturnus vulgaris,Sturnidae,Passeriformes,Utrecht,Utrecht,52.09,5.12,0,TRUE
967,,AS20222396,DWHC,14-11-2022,DateFound,Common Starling,Spreeuw,Sturnus vulgaris,Sturnidae,Passeriformes,Utrecht,Utrecht,52.09,5.12,0,TRUE
968,,AS20222411,DWHC,14-11-2022,DateFound,Common Starling,Spreeuw,Sturnus vulgaris,Sturnidae,Passeriformes,Utrecht,Utrecht,52.09,5.12,0,TRUE
969,,AS20222406,DWHC,14-11-2022,DateFound,Common Starling,Spreeuw,Sturnus vulgaris,Sturnidae,Passeriformes,Utrecht,Utrecht,52.09,5.12,0,TRUE
970,,AS20222386,DWHC,17-11-2022,DateFound,Common Wood Pigeon,Houtduif,Columba palumbus,Columbidae,Columbiformes,Nistelrode,Brabant,51.7,5.57,0,TRUE
971,,AS20222440,DWHC,21-11-2022,DateFound,Common Wood Pigeon,Houtduif,Columba palumbus,Columbidae,Columbiformes,Zeist,Utrecht,52.09,5.24,0,TRUE
972,,AS20222391,DWHC,20-11-2022,DateFound,Eurasian Woodcock,Houtsnip,Scolopax rusticola,Scolopacidae,Charadriiformes,Wageningen,Gelderland,51.98,5.67,0,TRUE
973,,AS20222439,DWHC,23-11-2022,DateFound,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,Hoorddorp,N-Holland,52.31,4.68,0,TRUE
974,,AS20222421,DWHC,23-11-2022,DateFound,Common Wood Pigeon,Houtduif,Columba palumbus,Columbidae,Columbiformes,Houten,Utrecht,52.03,5.17,0,TRUE
975,,AS20222429,DWHC,06-12-2022,DateFound,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Geesteren,Gelderland,52.14,6.49,0,TRUE
976,,AS20222376,DWHC,06-12-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Kaatsheuvel,Brabant,51.66,5.02,0,TRUE
977,,AS20210300,VPDC,06-06-2021,DateDeath,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Wageningen,Gelderland,51.98,5.66,0,TRUE
978,,AS20210290,VPDC,15-06-2021,DateDeath,Eurasian Collared Dove,Turkse Tortel,Streptopelia decaocto,Columbidae,Columbiformes,Stichting Vogelopvang Utrecht,Utrecht,52.07,5.12,0,TRUE
979,,AS20210257,VPDC,15-06-2021,DateDeath,Common Wood Pigeon,Houtduif,Columba palumbus,Columbidae,Columbiformes,Stichting Vogelopvang Utrecht,Utrecht,52.07,5.12,0,TRUE
980,,AS20210347,VPDC,22-06-2021,DateSampling,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Wageningen,Gelderland,51.98,5.66,0,TRUE
981,,AS20210583,VPDC,20-06-2021,DateDeath,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Wageningen,Gelderland,51.98,5.66,0,TRUE
982,,AS20210391,VPDC,22-06-2021,DateDeath,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Wageningen,Gelderland,51.98,5.66,0,TRUE
983,,AS20220559,VPDC,13-07-2021,DateSampling,Eurasian Magpie,Ekster,Pica pica,Corvidae,Passeriformes,Haarzuilens,Utrecht,52.12,5,0,TRUE
984,,AS20220563,VPDC,13-07-2021,DateSampling,Eurasian Wren,Winterkoning,Troglodytes troglodytes,Certhiidae,Passeriformes,Haarzuilens,Utrecht,52.12,5,0,TRUE
985,,AS20220132,VPDC,12-11-2021,DateSampling,Green Woodhoopoe,Groene Boomhop,Phoeniculus purpureus,Phoeniculidae,Upupiformes,Tuitjenhorn,N-Holland,52.74,4.75,0,TRUE
986,,AS20220676,VPDC,02-10-2022,DateSampling,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Vogelopvang Delft,Z-Holland,52.02,4.38,0,TRUE
987,,AS20220565,VPDC,02-10-2022,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Vogelopvang Delft,Z-Holland,52.02,4.38,0,TRUE
988,,AS20220681,VPDC,02-10-2022,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Vogelopvang Delft,Z-Holland,52.02,4.38,0,TRUE
989,,AS20220868,VPDC,02-10-2022,DateSampling,Common Starling,Spreeuw,Sturnus vulgaris,Sturnidae,Passeriformes,Vogelopvang Delft,Z-Holland,52.02,4.38,0,TRUE
990,,AS20220701,VPDC,02-10-2022,DateSampling,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Vogelopvang Delft,Z-Holland,52.02,4.38,0,TRUE
991,,AS20220686,VPDC,02-10-2022,DateSampling,European Robin,Roodborst,Erithacus rubecula,Turdidae,Passeriformes,Vogelopvang Delft,Z-Holland,52.02,4.38,0,TRUE
992,,AS20220671,VPDC,02-10-2022,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Vogelopvang Delft,Z-Holland,52.02,4.38,0,TRUE
993,,AS20220716,VPDC,02-10-2022,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Vogelopvang Delft,Z-Holland,52.02,4.38,0,TRUE
994,,AS20220706,VPDC,02-10-2022,DateSampling,European Robin,Roodborst,Erithacus rubecula,Turdidae,Passeriformes,Vogelopvang Delft,Z-Holland,52.02,4.38,0,TRUE
995,,AS20220721,VPDC,02-10-2022,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Vogelopvang Delft,Z-Holland,52.02,4.38,0,TRUE
996,,AS20220696,VPDC,02-10-2022,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Vogelopvang Delft,Z-Holland,52.02,4.38,0,TRUE
997,,AS20220691,VPDC,02-10-2022,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Vogelopvang Delft,Z-Holland,52.02,4.38,0,TRUE
998,,AS20220844,VPDC,15-02-2022,DateSampling,Common Kestrel,Torenvalk,Falco tinnunculus,Falconidae,Falconiformes,N210 (Road South Holland),Z-Holland,NA,NA,0,TRUE
999,,AS20220761,VPDC,23-02-2022,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Deil,Gelderland,51.89,5.24,0,TRUE
1000,,AS20220854,VPDC,23-02-2022,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Deil,Z-Holland,51.89,5.24,0,TRUE
1001,,AS201800036,NIOO,29-09-2017,DateDeath,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,FALSE
1002,,AS20200615,DWHC,17-09-2020,DateSampling,Common Cuckoo,Koekoek,Cuculus canorus,Cuculidae,Cuculiformes,Almere Jungle,Flevoland,52.34,5.27,0,TRUE
1003,MN122215,AS201800038,NIOO,11-09-2017,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Eastermar,Friesland,53.18,6.06,1,FALSE
1004,,AS201800204,NIOO,05-09-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Eastermar,Friesland,53.18,6.06,1,TRUE
1005,,AS20200312,NIOO,27-10-2018,DateDeath,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,Eastermar,Friesland,53.18,6.06,0,TRUE
1006,,AS20200322,NIOO,04-11-2018,DateDeath,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,Eastermar,Friesland,53.18,6.06,0,TRUE
1007,,AS20221353,Wildopvang Krommenie,16-02-2022,DateSampling,Carrion Crow,Zwarte Kraai,Corvus corone,Corvidae,Passeriformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1008,,AS20221358,Wildopvang Krommenie,16-02-2022,DateSampling,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1009,,AS20221363,Wildopvang Krommenie,16-02-2022,DateSampling,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1010,,AS20221368,Wildopvang Krommenie,16-02-2022,DateSampling,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1011,,AS20221373,Wildopvang Krommenie,16-02-2022,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1012,,AS20221378,Wildopvang Krommenie,16-02-2022,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1013,,AS20221383,Wildopvang Krommenie,16-02-2022,DateSampling,Common Starling,Spreeuw,Sturnus vulgaris,Sturnidae,Passeriformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1014,,AS20221388,Wildopvang Krommenie,16-02-2022,DateSampling,Eurasian Wigeon,Smient,Mareca penelope,Anatidae,Anseriformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1015,,AS20221393,Wildopvang Krommenie,16-02-2022,DateSampling,Gull,Meeuw,Laridae (fam),Laridae,Charadriiformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1016,,AS20221398,Wildopvang Krommenie,16-02-2022,DateSampling,Gull,Meeuw,Laridae (fam),Laridae,Charadriiformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1017,,AS20221403,Wildopvang Krommenie,16-02-2022,DateSampling,Gull,Meeuw,Laridae (fam),Laridae,Charadriiformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1018,,AS20221408,Wildopvang Krommenie,17-02-2022,DateSampling,Eurasian Magpie,Ekster,Pica pica,Corvidae,Passeriformes,Krommenie,N-Holland,52.51,4.75,1,TRUE
1019,,AS20221413,Wildopvang Krommenie,17-02-2022,DateSampling,Ring-necked Pheasant,Fazant,Phasianus colchicus,Phasianidae,Galliformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1020,,AS20221418,Wildopvang Krommenie,17-02-2022,DateSampling,Eurasian Woodcock,Houtsnip,Scolopax rusticola,Scolopacidae,Charadriiformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1021,,AS20221423,Wildopvang Krommenie,17-02-2022,DateSampling,Little Owl,Steenuil,Athene noctua,Strigidae,Strigiformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1022,,AS20221428,Wildopvang Krommenie,17-02-2022,DateSampling,Goldcrest,Goudhaan,Regulus regulus,Regulidae,Passeriformes,Krommenie,N-Holland,52.51,4.75,1,TRUE
1023,,AS20221433,Wildopvang Krommenie,17-02-2022,DateSampling,House Sparrow,Huismus,Passer domesticus,Passeridae,Passeriformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1024,,AS20221438,Wildopvang Krommenie,17-02-2022,DateSampling,Egyptian Goose,Nijlgans,Alopochen aegyptiaca,Anatidae,Anseriformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1025,,AS20221443,Wildopvang Krommenie,17-02-2022,DateSampling,Eurasian Wigeon,Smient,Mareca penelope,Anatidae,Anseriformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1026,,AS20221448,Wildopvang Krommenie,17-02-2022,DateSampling,Carrion Crow,Zwarte Kraai,Corvus corone,Corvidae,Passeriformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1027,,AS20221453,Wildopvang Krommenie,17-02-2022,DateSampling,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Krommenie,N-Holland,52.51,4.75,0,TRUE
1028,,AS201800033,NIOO,19-09-2017,DateDeath,Eurasian Blackcap,Zwartkop,Sylvia atricapilla,Sylviidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,FALSE
1029,,AS201800034,NIOO,20-09-2017,DateDeath,Eurasian Blackcap,Zwartkop,Sylvia atricapilla,Sylviidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,FALSE
1030,,AS201800035,NIOO,20-09-2017,DateDeath,Eurasian Blackcap,Zwartkop,Sylvia atricapilla,Sylviidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,FALSE
1031,,AS201800199,NIOO,22-06-2018,DateDeath,Garden Warbler,Tuinfluiter,Sylvia borin,Sylviidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,TRUE
1032,,AS201800037,NIOO,11-11-2017,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,FALSE
1033,,AS201800202,NIOO,20-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,1,TRUE
1034,,AS20211216,DWHC,12-10-2021,DateSampling,European Robin,Roodborst,Erithacus rubecula,Turdidae,Passeriformes,Haarzuilens,Utrecht,52.14,5,0,TRUE
1035,,AS201800031,NIOO,18-09-2017,DateDeath,Eurasian Blackcap,Zwartkop,Sylvia atricapilla,Sylviidae,Passeriformes,Haarzuilens,Utrecht,52.14,5,0,FALSE
1036,,AS201800200,NIOO,18-08-2018,DateDeath,Eurasian Reed Warbler,Kleine Karekiet,Acrocephalus scirpaceus,Sylviidae,Passeriformes,Haarzuilens,Utrecht,52.14,5,0,TRUE
1037,,AS20200292,NIOO,23-06-2020,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Wageningen,Gelderland,51.99,5.67,0,TRUE
1038,,AS20200298,NIOO,01-03-2020,DateDeath,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,TRUE
1039,,AS20200300,NIOO,25-04-2019,DateDeath,Common Chiffchaff,Tjiftjaf,Phylloscopus collybita,Phylloscopidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,TRUE
1040,,AS20200302,NIOO,11-07-2019,DateDeath,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,TRUE
1041,,AS20200324,NIOO,25-04-2019,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,TRUE
1042,,AS20200330,NIOO,30-10-2018,DateDeath,Short-toed Treecreeper,Boomkruiper,Certhia brachydactyla,Certhiidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,TRUE
1043,,AS20200332,NIOO,30-10-2018,DateDeath,Blue Tit,Pimpelmees ,Cyanistes caeruleus,Paridae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,TRUE
1044,,AS20200334,NIOO,30-10-2018,DateDeath,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,TRUE
1045,,AS20200338,NIOO,20-11-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Wageningen,Gelderland,51.99,5.67,0,TRUE
1046,,AS201800032,NIOO,19-09-2017,DateDeath,Eurasian Blackcap,Zwartkop,Sylvia atricapilla,Sylviidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,FALSE
1047,,AS201800205,NIOO,13-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Moddergat,Friesland,53.4,6.06,1,TRUE
1048,,AS201800206,NIOO,13-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Moddergat,Friesland,53.4,6.06,1,TRUE
1049,,AS201800207,NIOO,13-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Moddergat,Friesland,53.4,6.06,1,TRUE
1050,,AS201800208,NIOO,13-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Moddergat,Friesland,53.4,6.06,1,TRUE
1051,,AS201800209,NIOO,13-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Moddergat,Friesland,53.4,6.06,1,TRUE
1052,,AS201800210,NIOO,13-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Moddergat,Friesland,53.4,6.06,1,TRUE
1053,,AS20200326,NIOO,04-10-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Radio Kootwijk,Gelderland,52.18,5.83,0,TRUE
1054,,AS20200310,NIOO,28-07-2020,DateDeath,Common Wood Pigeon,Houtduif,Columba palumbus,Columbidae,Columbiformes,Wageningen Uiverweide,Gelderland,51.98,5.65,0,TRUE
1055,,AS201800203,NIOO,25-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Wageningen Asserpark,Gelderland,51.98,5.68,1,TRUE
1056,,AS20200294,NIOO,08-04-2020,DateDeath,European Pied Flycatcher,Bonte Vliegenvanger,Ficedula hypoleuca,Muscicapidae,Passeriformes,Westerheide,Gelderland,52.02,5.84,0,TRUE
1057,,AS20200320,NIOO,30-06-2020,DateDeath,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Westerheide,Gelderland,52.02,5.84,0,TRUE
1058,,AS20200304,NIOO,25-09-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Wolfheze,Gelderland,52,5.78,0,TRUE
1059,,AS20200314,NIOO,25-09-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Wolfheze,Gelderland,52,5.78,0,TRUE
1060,,358-1968,LiveBirdSurveillance,13-11-2022,DateSampling,European Robin,Roodborst,Erithacus rubecula,Turdidae,Passeriformes,Haarzuilens Eendenkooi,Utrecht,52.14,5,0,TRUE
1061,,358-2163,LiveBirdSurveillance,13-11-2022,DateSampling,European Robin,Roodborst,Erithacus rubecula,Turdidae,Passeriformes,Haarzuilens Eendenkooi,Utrecht,52.14,5,0,TRUE
1062,,21TV4763,LiveBirdSurveillance,24-10-2021,DateSampling,Blue Tit,Pimpelmees,Cyanistes caeruleus,Paridae,Passeriformes,Haarzuilens Griend,Utrecht,52.14,5,0,TRUE
1063,,18TV1168,LiveBirdSurveillance,28-03-2021,DateSampling,Common Chiffchaff,Tjiftjaf,Phylloscopus collybita,Phylloscopidae,Passeriformes,Haarzuilens Griend,Utrecht,52.14,5,0,TRUE
1064,,21TV0732,LiveBirdSurveillance,24-04-2021,DateSampling,Ring Ouzel,Beflijster,Turdus torquatus,Turdidae,Passeriformes,Haarzuilens Griend,Utrecht,52.14,5,0,TRUE
1065,,22B06167,LiveBirdSurveillance,10-12-2022,DateSampling,Blue Tit,Pimpelmees,Cyanistes caeruleus,Paridae,Passeriformes,Haarzuilens Griend,Utrecht,52.14,5,0,TRUE
1066,,21TV3303,LiveBirdSurveillance,23-06-2021,DateSampling,Sand Martin,Oeverzwaluw,Riparia riparia,Hirundinidae,Passeriformes,"Haarzuilens, Kunstwand",Utrecht,52.12,5.01,0,TRUE
1067,,21TV8430,LiveBirdSurveillance,09-05-2022,DateSampling,Common Raven,Raaf,Corvus corax,Corvidae,Passeriformes,Overberg  Veenendaal,Utrecht,52.04,5.47,0,TRUE
1068,,21TV6341,LiveBirdSurveillance,11-04-2022,DateSampling,Common Raven,Raaf,Corvus corax,Corvidae,Passeriformes,"landgoed Oldenaller, Putten",Gelderland,52.25,5.52,0,TRUE
1069,,16TV1022,LiveBirdSurveillance,14-09-2016,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Wageningen,Gelderland,51.98,5.66,1,TRUE
1070,,16TV1064,LiveBirdSurveillance,20-09-2016,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Uden,Brabant,51.67,5.62,0,TRUE
1071,,16TV1037,LiveBirdSurveillance,06-10-2016,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Nijmegen,Gelderland,51.83,5.86,1,TRUE
1072,,17TV0074,LiveBirdSurveillance,29-04-2017,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,1,TRUE
1073,,17TV1109,LiveBirdSurveillance,19-06-2017,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,TRUE
1074,,16TV1089,LiveBirdSurveillance,01-07-2017,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Berg en Dal,Gelderland,51.83,5.91,0,TRUE
1075,,16TV0262,LiveBirdSurveillance,23-08-2017,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,"Naarden, Oud Valkeveen",N-Holland,52.31,5.2,0,TRUE
1076,,18TV0395,LiveBirdSurveillance,08-05-2018,DateSampling,Eurasian Reed Warbler,Kleine Karekiet,Acrocephalus scirpaceus,Sylviidae,Passeriformes,"Oostvaardersdijk, Almere",Flevoland,52.49,5.39,0,TRUE
1077,,18TV1693,LiveBirdSurveillance,04-12-2018,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Eastermar,Friesland,53.18,6.06,0,TRUE
1078,,18TV1350,LiveBirdSurveillance,21-01-2019,DateSampling,House Sparrow,Huismus,Passer domesticus,Passeridae,Passeriformes,Gorssel,Gelderland,52.21,6.2,0,TRUE
1079,,18TV1405,LiveBirdSurveillance,19-01-2019,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Karveel,Flevoland,52.52,5.45,0,TRUE
1080,,19TV0158,LiveBirdSurveillance,17-08-2019,DateSampling,House Sparrow,Huismus,Passer domesticus,Passeridae,Passeriformes,Gorssel,Gelderland,52.21,6.2,0,TRUE
1081,,19TV3355,LiveBirdSurveillance,08-02-2020,DateSampling,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Dassenbos Wageningen,Gelderland,51.98,5.65,0,TRUE
1082,,20TV0303,LiveBirdSurveillance,11-04-2020,DateSampling,Bluethroat,Witgesterde Blauwborst,Luscinia svecica,Turdidae,Passeriformes,Natuurgebied De Burgumer Mar Oostoever,Friesland,53.19,6.06,0,TRUE
1083,,20TV0737,LiveBirdSurveillance,30-05-2020,DateSampling,Greater Whitethroat,Grasmus,Sylvia communis,Sylviidae,Passeriformes,"Oostvaardersdijk, Almere",Flevoland,52.42,5.23,0,TRUE
1084,,20TV2207,LiveBirdSurveillance,10-09-2020,DateSampling,Lesser Whitethroat,Braamsluiper,Curruca curruca,Sylviidae,Passeriformes,"Almere, OVD 28",Flevoland,52.49,5.39,0,TRUE
1085,,20TV3699,LiveBirdSurveillance,11-10-2020,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,"Naarden, Oud Valkeveen",N-Holland,52.31,5.2,0,TRUE
1086,,20TV4121,LiveBirdSurveillance,31-10-2020,DateSampling,European Greenfinch,Groenling,Chloris chloris,Fringillidae,Passeriformes,"Haarzuilens, Griend",Utrecht,52.14,5,0,TRUE
1087,,20TV4087,LiveBirdSurveillance,07-11-2020,DateSampling,Common Reed Bunting,Rietgors,Emberiza schoeniclus,Fringillidae,Passeriformes,"Haarzuilens, Griend",Utrecht,52.14,5,0,TRUE
1088,,20TV5875,LiveBirdSurveillance,10-11-2020,DateSampling,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,"Nationaal Park Zuid-Kennemerland, Bloemendaal",N-Holland,52.42,4.61,0,TRUE
1089,,20TV5655,LiveBirdSurveillance,11-11-2020,DateSampling,Brambling,Keep,Fringilla montifringilla,Fringillidae,Passeriformes,VRS Terschelling - Oosterend,Friesland,53.4,5.38,0,TRUE
1090,,20TV4672,LiveBirdSurveillance,20-03-2021,DateSampling,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,"Haarzuilens, Eendenkooi, CES locatie",Utrecht,52.13,5.01,0,TRUE
1091,,20TV4665,LiveBirdSurveillance,20-03-2021,DateSampling,Eurasian Wren,Winterkoning,Troglodytes troglodytes,Certhiidae,Passeriformes,"Haarzuilens, Eendenkooi, CES locatie",Utrecht,52.13,5.01,0,TRUE
1092,,20TV4648,LiveBirdSurveillance,10-04-2021,DateSampling,Common Chiffchaff,Tjiftjaf,Phylloscopus collybita,Phylloscopidae,Passeriformes,"Haarzuilens, Eendenkooi, CES locatie",Utrecht,52.13,5.01,0,TRUE
1093,,21TV1245,LiveBirdSurveillance,26-04-2021,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Eastermar,Friesland,53.18,6.06,0,TRUE
1094,,21TV0680,LiveBirdSurveillance,02-05-2021,DateSampling,Eurasian Blackcap,Zwartkop,Sylvia atricapilla,Sylviidae,Passeriformes,"Haarzuilens, Eendenkooi, CES locatie",Utrecht,52.13,5.01,0,TRUE
1095,,21TV1390,LiveBirdSurveillance,15-05-2021,DateSampling,Common Chiffchaff,Tjiftjaf,Phylloscopus collybita,Phylloscopidae,Passeriformes,"Haarzuilens, Griend",Utrecht,52.14,5,0,TRUE
1096,,21TV1916,LiveBirdSurveillance,03-06-2021,DateSampling,Sand Martin,Oeverzwaluw,Riparia riparia,Hirundinidae,Passeriformes,"Haarzuilens, Wielreveld, Kunstwand",Utrecht,52.12,5.01,0,TRUE
1097,,21TV2320,LiveBirdSurveillance,07-06-2021,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Natuurgebied De Burgumer Mar Oostoever,Friesland,53.19,6.06,0,TRUE
1098,,21TV3100,LiveBirdSurveillance,23-06-2021,DateSampling,Sand Martin,Oeverzwaluw,Riparia riparia,Hirundinidae,Passeriformes,"Haarzuilens, Wielreveld, Kunstwand",Utrecht,52.12,5.01,0,TRUE
1099,,21TV3185,LiveBirdSurveillance,23-06-2021,DateSampling,Sand Martin,Oeverzwaluw,Riparia riparia,Hirundinidae,Passeriformes,"Haarzuilens, Wielreveld, Kunstwand",Utrecht,52.12,5.01,0,TRUE
1100,,21TV3027,LiveBirdSurveillance,06-07-2021,DateSampling,Barn Swallow,Boerenzwaluw,Hirundo rustica,Hirundinidae,Passeriformes,Hattem,Gelderland,52.47,6.09,0,TRUE
1101,,21TV3776,LiveBirdSurveillance,10-07-2021,DateSampling,Eurasian Wren,Winterkoning,Troglodytes troglodytes,Certhiidae,Passeriformes,"Haarzuilens, Griend",Utrecht,52.14,5,0,TRUE
