Row,INSDC Sequence accession,ID,applicant,DeathOrSampleDate,DateInfo,English,Dutch,Latin,family,order,location,province,Lat,Long,BirdUSUV,BirdTestedWNV
842,,AS20221291,DWHC,08-06-2022,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Berlicum,Brabant,51.68,5.39,0,TRUE
843,,AS20221252,DWHC,09-06-2022,DateFound,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Berkel-Enschot,Brabant,51.58,5.14,0,TRUE
844,,AS20221242,DWHC,15-06-2022,DateFound,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Leusden,Utrecht,52.12,5.41,0,TRUE
845,,AS20221227,DWHC,15-06-2022,DateFound,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Leusden,Utrecht,52.12,5.41,0,TRUE
846,,AS20221301,DWHC,14-06-2022,DateFound,House Sparrow,Huismus,Passer domesticus,Passeridae,Passeriformes,Arnhem,Gelderland,52,5.95,0,TRUE
847,,AS20221319,DWHC,14-06-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Groningen,Groningen,53.21,6.56,0,TRUE
848,,AS20221257,DWHC,14-06-2022,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Ermelo,Gelderland,52.31,5.6,0,TRUE
849,,AS20221272,DWHC,15-06-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Heerlen,Limburg,50.88,5.98,0,TRUE
850,,AS20221571,DWHC,23-06-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Lobith,Gelderland,51.86,6.12,0,TRUE
851,,AS20221224,DWHC,26-06-2022,DateFound,Long-eared Owl,Ransuil,Asio otus,Strigidae,Strigiformes,Wormer,N-Holland,52.5,4.82,0,TRUE
852,,AS20221345,DWHC,28-06-2022,DateFound,Eurasian Tree Sparrow,Ringmus,Passer montanus,Passeridae,Passeriformes,Eastermar,Friesland,53.18,6.08,0,TRUE
853,,AS20221589,DWHC,30-06-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Maarheeze,Brabant,51.31,5.62,0,TRUE
854,,AS20221702,DWHC,04-07-2022,DateFound,Eurasian Collared Dove,Turkse Tortel,Streptopelia decaocto,Columbidae,Columbiformes,Sneek,Friesland,53.04,5.67,0,TRUE
855,,AS20221647,DWHC,04-07-2022,DateFound,Mallard,Wilde Eend,Anas platyrhynchos,Anatidae,Anseriformes,Veenendaal,Utrecht,52.02,5.63,0,TRUE
856,,AS20221692,DWHC,06-07-2022,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Utrecht,Utrecht,52.13,5.11,0,TRUE
857,,AS20221579,DWHC,11-07-2022,DateFound,Common Kestrel,Torenvalk,Falco tinnunculus,Falconidae,Falconiformes,Bergen,Limburg,51.6,6.03,0,TRUE
