PRIMARYSAMPLEBARCODE,COLLECTIONDATE,MATTYPE,SPECIES,SPECIES EN,SPECIES LATIN,Location,BirdId
19TV0036,12-05-2019,Cloacal/throat swab,Rietzanger,Sedge Warbler,Acrocephalus schoenobaenus,"Utrecht, Nederland",11760277
19TV0036,12-05-2019,Cloacal/throat swab,Rietzanger,Sedge Warbler,Acrocephalus schoenobaenus,"Utrecht, Nederland",11760277
18TV1411,05-05-2019,Cloacal/throat swab,Grasmus,Common Whitethroat,Curruca communis,"Kampen, Nederland",12091281
19TV0786,12-05-2019,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Sibrandabuorren, Nederland",11748118
19TV0781,12-05-2019,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Sibrandabuorren, Nederland",11748117
18TV0873,14-05-2019,Cloacal/throat swab,Kwartel,Common Quail,Coturnix coturnix,"Lithoijen, Nederland",290535
18TV1491,05-05-2019,Cloacal/throat swab,Tuinfluiter,Garden Warbler,Sylvia borin,"Kampen, Nederland",12091288
19TV0804,14-05-2019,Cloacal/throat swab,Aalscholver,Great cormorant,Phalacrocorax carbo,"Moddergat, Nederland",11747522
18TV0570,12-05-2019,Cloacal/throat swab,Wilde Eend,Mallard,Anas platyrhynchos,"Groningen, Nederland",11808599
18TV0563,12-05-2019,Cloacal/throat swab,Wilde Eend,Mallard,Anas platyrhynchos,"Groningen, Nederland",11762009
18TV0562,12-05-2019,Cloacal/throat swab,Stadsduif,Feral pigeon,Columba livia domestica,"Groningen, Nederland",11762017
19TV0666,15-05-2019,Cloacal/throat swab,Tureluur,Common Redshank,Tringa totanus,"Westerland, Nederland",10393697
18TV1360,15-05-2019,Cloacal/throat swab,Huismus,House Sparrow,Passer domesticus,"Gorssel, Nederland",11082527
18TV0559,12-05-2019,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Groningen, Nederland",11762012
19TV1037,10-05-2019,Cloacal/throat swab,Kleine Karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Maastricht, Nederland",12008250
19TV1070,10-05-2019,Cloacal/throat swab,Kleine Karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Maastricht, Nederland",11743502
19TV0788,14-05-2019,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Sibrandabuorren, Nederland",11748119
19TV0869,17-05-2019,Cloacal/throat swab,Grutto,Black-tailed Godwit,Limosa limosa,Nederland,11849870
19TV0773,16-05-2019,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Sibrandabuorren, Nederland",11748120
19TV0917,18-05-2019,Cloacal/throat swab,Paapje,Whinchat,Saxicola rubetra,"Utrecht, Nederland",11760121
19TV2678,02-06-2020,Cloacal/throat swab,boerenzwaluw,Barn swallow,Hirundo rustica,"Hattem, Nederland",11790082
19TV3198,03-06-2020,Cloacal/throat swab,Boerenzwaluw,Barn swallow,Hirundo rustica,"Noordeinde, Nederland",9977244
20TV0351,30-05-2020,Cloacal/throat swab,Witte Kwikstaart,White Wagtail,Motacilla alba,"Luttelgeest, Nederland",12321282
20TV0151,03-06-2020,Cloacal/throat swab,Grauwe Vliegenvanger,Spotted Flycatcher,Muscicapa striata,"Bloemendaal, Nederland",12316102
20TV1001,01-06-2020,Cloacal/throat swab,Bosrietzanger,Marsh Warbler,Acrocephalus palustris,"Naarden, Nederland",12460732
20TV1005,31-05-2020,Cloacal/throat swab,Kleine Karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Naarden, Nederland",12460684
19TV1006,30-05-2020,Cloacal/throat swab,Wielewaal,Eurasian Golden Oriole,Oriolus oriolus,"Dronten, Nederland",12314300
19TV2854,16-05-2020,Cloacal/throat swab,Tuinfluiter,Garden Warbler,Sylvia borin,"Maarssen, Nederland",12419690
19TV2890,16-05-2020,Cloacal/throat swab,Bosrietzanger,Marsh Warbler,Acrocephalus palustris,"Maarssen, Nederland",12419681
19TV2892,16-05-2020,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,"Maarssen, Nederland",10517474
19TV3178,05-06-2020,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"IJmuiden, Nederland",12317217
19TV3134,08-06-2020,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Dwingeloo, Nederland",12321575
19TV3297,08-06-2020,Cloacal/throat swab,Turkse tortel,Eurasian Collared Dove,Streptopelia decaocto,"Apeldoorn, Nederland",12328449
