PRIMARYSAMPLEBARCODE,COLLECTIONDATE,MATTYPE,SPECIES,SPECIES EN,SPECIES LATIN,Location,BirdId
17TV1004,11-06-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Almere, Nederland",10401555
17TV0838,04-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almere, Nederland",10401362
17TV0865,04-06-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Almere, Nederland",10401363
17TV0866,04-06-2017,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Almere, Nederland",10401334
17TV0185,21-06-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Lelystad, Nederland",10413362
17TV0867,04-06-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Almere, Nederland",8962166
17TV0827,04-06-2017,Cloacal/throat swab,braamsluiper,Lesser Whitethroat,Sylvia curruca,"Almere, Nederland",10401349
17TV0844,04-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almere, Nederland",10075234
16TV0273,25-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Utrecht, Nederland",10426566
17TV0819,26-06-2017,Cloacal/throat swab,snor,Savi’s Warbler,Locustella luscinioides,"Kampen, Nederland",10517684
17TV1097,26-06-2017,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Elburg, Nederland",10414348
17TV1113,26-06-2017,Cloacal/throat swab,snor,Savi’s Warbler,Locustella luscinioides,"Elburg, Nederland",10414392
17TV0403,26-06-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Lelystad, Nederland",10413891
17TV0431,26-06-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Lelystad, Nederland",9984991
17TV0432,26-06-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Lelystad, Nederland",9967318
16TV0630,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almere, Nederland",9512858
16TV0982,23-09-2016,Cloacal/throat swab,koolmees,Great Tit,Parus major,"Wageningen, Nederland",10170993
17TV0868,02-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almen, Nederland",9942409
17TV0408,02-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almen, Nederland",10392332
17TV0882,02-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almen, Nederland",8643526
17TV1034,03-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Eastermar, Nederland",8147110
17TV1033,03-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Eastermar, Nederland",10391946
17TV0719,02-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Terwispel, Nederland",10392293
16TV1107,01-06-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Lelystad, Nederland",10395718
17TV0605,13-05-2017,Cloacal/throat swab,wilde eend,Mallard,Anas platyrhynchos,"Sint Philipsland, Nederland",10382758
17TV0778,15-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Terwispel, Nederland",10371520
17TV0781,15-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Terwispel, Nederland",10128567
16TV0940,17-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Olst, Nederland",9023011
17TV0087,17-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Olst, Nederland",10388309
17TV0059,17-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Markelo, Nederland",10505346
17TV0060,17-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Markelo, Nederland",10505770
17TV0579,06-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Dronten, Nederland",10383670
17TV0327,18-05-2017,Cloacal/throat swab,Boompieper,Tree pipit,Anthus trivialis,"Ospel, Nederland",10384699
17TV0717,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Ankeveen, Nederland",9725359
17TV0788,18-05-2017,Cloacal/throat swab,braamsluiper,Lesser Whitethroat,Sylvia curruca,"Overdinkel, Nederland",10384789
17TV0721,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Ankeveen, Nederland",10386227
17TV0703,22-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Zwolle, Nederland",10385708
17TV0593,22-05-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Elburg, Nederland",10385883
17TV0716,22-05-2017,Cloacal/throat swab,bosrietzanger,Marsh Warbler,Acrocephalus palustris,"Zwolle, Nederland",10385758
17TV0697,22-05-2017,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Zwolle, Nederland",10385755
17TV0707,22-05-2017,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Zwolle, Nederland",10385759
17TV0640,22-05-2017,Cloacal/throat swab,bosrietzanger,Marsh Warbler,Acrocephalus palustris,"Elburg, Nederland",10385861
17TV0683,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10398795
17TV0684,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9780909
17TV0718,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10381628
17TV0667,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9321638
17TV0696,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9361856
17TV0681,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10043486
17TV0666,21-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10241928
17TV0505,20-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Utrecht, Nederland",10398256
17TV0019,20-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Utrecht, Nederland",10376348
17TV0512,20-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Utrecht, Nederland",9939259
17TV0030,20-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Utrecht, Nederland",10361591
17TV1036,28-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Eastermar, Nederland",9641174
17TV0156,26-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Asten, Nederland",10387827
17TV0096,27-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Olst, Nederland",10388310
17TV0747,30-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9869295
17TV0945,30-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10413713
17TV0436,20-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Schiermonnikoog, Nederland",9245226
17TV0926,30-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10413711
17TV0674,30-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10043486
17TV0669,30-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",10043585
17TV0665,30-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9361856
17TV0346,20-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Schiermonnikoog, Nederland",10484927
17TV0122,28-05-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almere, Nederland",10097521
16TV0695,11-08-2017,Cloacal/throat swab,zanglijster,Song trush,Turdus philomeus,"Wassenaar, Nederland",10491292
17TV0226,06-08-2017,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Castricum, Nederland",10510343
17TV1263,09-08-2017,Cloacal/throat swab,boerenzwaluw,Barn swallow,Hirundo rustica,"Zwolle, Nederland",9657615
17TV1297,09-08-2017,Cloacal/throat swab,boerenzwaluw,Barn swallow,Hirundo rustica,"Zwolle, Nederland",9988043
17TV1295,09-08-2017,Cloacal/throat swab,boerenzwaluw,Barn swallow,Hirundo rustica,"Zwolle, Nederland",10433675
17TV1450,10-08-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Eastermar, Nederland",10466048
17TV1099,10-08-2017,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Eastermar, Nederland",8900549
17TV0961,06-08-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Almere, Nederland",9958551
17TV1405,10-08-2017,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Eastermar, Nederland",10466043
17TV1003,06-08-2017,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Almere, Nederland",10455592
16TV0863,11-08-2017,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Wassenaar, Nederland",10491363
17TV1271,10-08-2017,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Eastermar, Nederland",10449031
17TV1192,11-08-2017,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Utrecht, Nederland",10518454
16TV0695,11-08-2017,Cloacal/throat swab,zanglijster,Song trush,Turdus philomeus,"Wassenaar, Nederland",10491292
17TV1272,10-08-2017,Cloacal/throat swab,boerenzwaluw,Barn swallow,Hirundo rustica,"Elburg, Nederland",10454032
16TV0866,11-08-2017,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Wassenaar, Nederland",10491331
17TV1187,11-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Utrecht, Nederland",10518383
17TV1011,14-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Terwispel, Nederland",10128495
17TV1140,11-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Bakel, Nederland",10467931
17TV1370,10-08-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Overdinkel, Nederland",10465119
17TV1203,14-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Almen, Nederland",10474768
17TV1235,14-08-2017,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Almen, Nederland",10474764
17TV1367,14-08-2017,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Overdinkel, Nederland",10469593
16TV1102,13-08-2017,Cloacal/throat swab,huismus,House Sparrow,Passer domesticus,"Almere, Nederland",10478478
17TV1275,13-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Overdinkel, Nederland",9326358
17TV1269,12-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Eastermar, Nederland",10433685
16TV0781,15-08-2017,Cloacal/throat swab,zanglijster,Song trush,Turdus philomeus,"Bloemendaal, Nederland",10534200
17TV1280,14-08-2017,Cloacal/throat swab,boerenzwaluw,Barn swallow,Hirundo rustica,"Elburg, Nederland",10060106
17TV1303,13-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Naarden, Nederland",10235608
16TV0950,13-08-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Schiermonnikoog, Nederland",9981731
17TV1392,15-08-2017,Cloacal/throat swab,zanglijster,Song trush,Turdus philomeus,"Bloemendaal, Nederland",10534197
17TV1133,13-08-2017,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Markelo, Nederland",10505651
17TV1124,13-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Markelo, Nederland",10505645
16TV0949,15-08-2017,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Bloemendaal, Nederland",10404526
17TV0052,20-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Sneek, Nederland",10493573
17TV0330,16-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Griendtsveen, Nederland",10475072
17TV1191,11-08-2017,Cloacal/throat swab,braamsluiper,Lesser Whitethroat,Sylvia curruca,"Utrecht, Nederland",10518472
17TV1236,16-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Zeewolde, Nederland",10474729
17TV1217,13-08-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Zeewolde, Nederland",10474714
16TV1112,16-08-2017,Cloacal/throat swab,huismus,House Sparrow,Passer domesticus,"Lelystad, Nederland",10037937
17TV1403,21-08-2017,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Eastermar, Nederland",9973650
17TV0041,20-08-2017,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Sneek, Nederland",10188050
17TV0876,23-08-2017,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Olst, Nederland",10503224
17TV1377,22-08-2017,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Overdinkel, Nederland",10482155
17TV0191,23-08-2017,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Utrecht, Nederland",10518264
16TV0744,18-03-2016,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9869297
16TV0308,18-03-2016,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9797369
16TV0301,18-03-2016,Cloacal/throat swab,kleine rietgans,Pink-footed Goose,Anser brachyrhynchus,"Wageningen, Nederland",
16TV0914,18-03-2016,Cloacal/throat swab,koolmees,Great Tit,Parus major,"Wageningen, Nederland",9537260
16TV0736,02-04-2016,Cloacal/throat swab,koolmees,Great Tit,Parus major,"Wageningen, Nederland",9537266
16TV0916,02-04-2016,Cloacal/throat swab,gaai,Eurasian Jay,Garrulus glandarius,"Wageningen, Nederland",9940672
16TV0744,18-03-2016,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9869297
16TV0308,18-03-2016,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9797369
16TV0301,18-03-2016,Cloacal/throat swab,kleine rietgans,Pink-footed Goose,Anser brachyrhynchus,"Wageningen, Nederland",
16TV0914,18-03-2016,Cloacal/throat swab,koolmees,Great Tit,Parus major,"Wageningen, Nederland",9537260
16TV0736,02-04-2016,Cloacal/throat swab,koolmees,Great Tit,Parus major,"Wageningen, Nederland",9537266
16TV0916,02-04-2016,Cloacal/throat swab,gaai,Eurasian Jay,Garrulus glandarius,"Wageningen, Nederland",9940672
16TV0873,02-04-2016,Cloacal/throat swab,gaai,Eurasian Jay,Garrulus glandarius,"Wageningen, Nederland",9940674
16TV0723,03-04-2016,Cloacal/throat swab,rietzanger,Sedge Warbler,Acrocephalus schoenobaenus,"Almere, Nederland",9943709
16TV0729,03-04-2016,Cloacal/throat swab,blauwborst,Bluethroat,Luscinia svecica,"Almere, Nederland",8690527
16TV0881,20-04-2016,Cloacal/throat swab,bonte vliegenvanger,European Pied Flycatcher,Ficedula hypoleuca,"Markelo, Nederland",10094817
16TV0803,24-04-2016,Cloacal/throat swab,tureluur,Common Redshank,Tringa totanus,"Sneek, Nederland",9944536
16TV0104,25-04-2016,Cloacal/throat swab,gekraagde roodstaart,Common Redstart,Phoenicurus phoenicurus,"Overdinkel, Nederland",9944409
16TV0930,23-04-2016,Cloacal/throat swab,wilde eend,Mallard,Anas platyrhynchos,"Warmond, Nederland",9945441
16TV0930,23-04-2016,Cloacal/throat swab,wilde eend,Mallard,Anas platyrhynchos,"Warmond, Nederland",9945441
16TV0550,23-04-2016,Cloacal/throat swab,zanglijster,Song trush,Turdus philomeus,"Wageningen, Nederland",9940663
16TV0873,02-04-2016,Cloacal/throat swab,gaai,Eurasian Jay,Garrulus glandarius,"Wageningen, Nederland",9940674
16TV0723,03-04-2016,Cloacal/throat swab,rietzanger,Sedge Warbler,Acrocephalus schoenobaenus,"Almere, Nederland",9943709
16TV0638,27-04-2016,Cloacal/throat swab,grutto,Black-tailed Godwit,Limosa limosa,"Hei en Boeicop, Nederland",10057308
16TV0770,23-04-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Almere, Nederland",9945966
16TV0014,22-04-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Olst, Nederland",9952325
16TV0019,22-04-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Olst, Nederland",9952327
16TV0462,23-04-2016,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9214754
16TV0213,25-04-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Overdinkel, Nederland",9944413
16TV0540,23-04-2016,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9797289
16TV0457,23-04-2016,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9272171
16TV0539,23-04-2016,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",9960494
16TV0606,23-04-2016,Cloacal/throat swab,braamsluiper,Lesser Whitethroat,Sylvia curruca,"Almere, Nederland",9945961
16TV0661,21-04-2016,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Ubbergen, Nederland",10114274
16TV0012,22-04-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Olst, Nederland",12254568
16TV0913,22-04-2016,Cloacal/throat swab,kuifeend,Tufted Duck,Aythya fuligula,"Warmond, Nederland",9945440
16TV0913,22-04-2016,Cloacal/throat swab,kuifeend,Tufted Duck,Aythya fuligula,"Warmond, Nederland",9945440
16TV0011,22-04-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Olst, Nederland",9652550
16TV0755,23-04-2016,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Almere, Nederland",9945960
16TV0105,27-04-2016,Cloacal/throat swab,gekraagde roodstaart,Common Redstart,Phoenicurus phoenicurus,"Overdinkel, Nederland",9945839
16TV0214,28-04-2016,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Overdinkel, Nederland",9946079
16TV0211,28-04-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Overdinkel, Nederland",9946154
16TV0013,22-04-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Olst, Nederland",9952345
16TV0209,29-04-2016,Cloacal/throat swab,braamsluiper,Lesser Whitethroat,Sylvia curruca,"Overdinkel, Nederland",9946459
16TV0026,30-04-2016,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Utrecht, Nederland",9952622
16TV0101,30-04-2016,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Overdinkel, Nederland",9946633
16TV0027,30-04-2016,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Utrecht, Nederland",9952621
16TV0208,30-04-2016,Cloacal/throat swab,gekraagde roodstaart,Common Redstart,Phoenicurus phoenicurus,"Overdinkel, Nederland",9946687
16TV0114,29-04-2016,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Overdinkel, Nederland",9946465
16TV0028,30-04-2016,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Utrecht, Nederland",9993814
16TV0793,02-05-2016,Cloacal/throat swab,spotvogel,Icterine Warbler,Hippolais icterina,"Ospeldijk, Nederland",9947323
16TV0108,02-05-2016,Cloacal/throat swab,bonte vliegenvanger,European Pied Flycatcher,Ficedula hypoleuca,"Overdinkel, Nederland",9947308
16TV0109,30-04-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Overdinkel, Nederland",9946631
16TV0210,01-05-2016,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Overdinkel, Nederland",9946772
16TV0018,30-04-2016,Cloacal/throat swab,blauwborst,Bluethroat,Luscinia svecica,"Haarzuilens, Nederland",9942712
16TV0207,01-05-2016,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Overdinkel, Nederland",9946761
16TV0626,01-05-2016,Cloacal/throat swab,grutto,Black-tailed Godwit,Limosa limosa,"Hei en Boeicop, Nederland",10057309
16TV0033,03-05-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Overdinkel, Nederland",9947533
16TV0184,03-05-2016,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Overdinkel, Nederland",9947469
16TV0974,11-09-2016,Cloacal/throat swab,Goudplevier,European Golden Plover,Pluvialis apricaria,"Castricum, Nederland",10073694
16TV0186,07-05-2016,Cloacal/throat swab,gekraagde roodstaart,Common Redstart,Phoenicurus phoenicurus,"Overdinkel, Nederland",9949215
16TV0314,07-05-2016,Cloacal/throat swab,bonte vliegenvanger,European Pied Flycatcher,Ficedula hypoleuca,Nederland,
16TV0613,07-05-2016,Cloacal/throat swab,grutto,Black-tailed Godwit,Limosa limosa,"Hei en Boeicop, Nederland",10057328
16TV0614,07-05-2016,Cloacal/throat swab,grutto,Black-tailed Godwit,Limosa limosa,Nederland,
16TV0931,01-05-2016,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Almere, Nederland",8460475
16TV0924,07-05-2016,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Almere, Nederland",9949709
16TV0632,01-05-2016,Cloacal/throat swab,braamsluiper,Lesser Whitethroat,Sylvia curruca,"Almere, Nederland",9947766
16TV0181,09-05-2016,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Overdinkel, Nederland",9949673
16TV0677,07-05-2016,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Lelystad, Nederland",9949676
16TV0173,07-05-2016,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,Nederland,
16TV0683,07-05-2016,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Lelystad, Nederland",9949674
16TV0663,07-05-2016,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Lelystad, Nederland",9949675
16TV0732,05-05-2016,Cloacal/throat swab,kauw,Western Jackdaw,Coloeus monedula,"Weesp, Nederland",9948872
16TV0165,06-05-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Overdinkel, Nederland",9948875
16TV0677,07-05-2016,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Lelystad, Nederland",9949676
16TV0719,07-05-2016,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Almere, Nederland",9949742
16TV0239,07-05-2016,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Overdinkel, Nederland",9949209
16TV0177,06-05-2016,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Overdinkel, Nederland",9949672
16TV0647,07-05-2016,Cloacal/throat swab,braamsluiper,Lesser Whitethroat,Sylvia curruca,"Almere, Nederland",9949728
16TV0647,07-05-2016,Cloacal/throat swab,braamsluiper,Lesser Whitethroat,Sylvia curruca,"Almere, Nederland",9949728
16TV0189,04-05-2016,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Overdinkel, Nederland",9947703
16TV0882,10-05-2016,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Markelo, Nederland",10095014
16TV0882,10-05-2016,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Markelo, Nederland",10095014
16TV0662,07-05-2016,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Lelystad, Nederland",9949678
16TV0020,08-05-2016,Cloacal/throat swab,kauw,Western Jackdaw,Coloeus monedula,"Utrecht, Nederland",9953611
16TV0851,08-05-2016,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Naarden, Nederland",9341562
16TV0029,30-04-2016,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Utrecht, Nederland",9993834
16TV0187,07-05-2016,Cloacal/throat swab,bonte vliegenvanger,European Pied Flycatcher,Ficedula hypoleuca,"Overdinkel, Nederland",9949214
16TV0874,10-05-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Markelo, Nederland",9796529
16TV0851,08-05-2016,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Naarden, Nederland",9341562
16TV0029,30-04-2016,Cloacal/throat swab,grasmus,Common Whitethroat,Curruca communis,"Utrecht, Nederland",9993834
16TV0992,06-05-2016,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Kampen, Nederland",9948949
16TV0015,30-04-2016,Cloacal/throat swab,braamsluiper,Lesser Whitethroat,Sylvia curruca,"Olst, Nederland",9951448
16TV0877,10-05-2016,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Markelo, Nederland",9407806
16TV0883,10-05-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Markelo, Nederland",10095040
16TV0031,30-04-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Olst, Nederland",9626562
16TV0178,30-04-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Olst, Nederland",9952363
16TV0162,30-04-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Olst, Nederland",9951450
16TV0015,30-04-2016,Cloacal/throat swab,braamsluiper,Lesser Whitethroat,Sylvia curruca,"Olst, Nederland",9951448
16TV0732,05-05-2016,Cloacal/throat swab,kauw,Western Jackdaw,Coloeus monedula,"Weesp, Nederland",9948872
16TV0877,10-05-2016,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Markelo, Nederland",9407806
16TV0883,10-05-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Markelo, Nederland",10095040
16TV0031,30-04-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Olst, Nederland",9626562
16TV0162,30-04-2016,Cloacal/throat swab,zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Olst, Nederland",9951450
16TV0117,21-05-2016,Cloacal/throat swab,kleine karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Tienhoven, Nederland",9959406
16TV0106,21-05-2016,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Tienhoven, Nederland",9606890
16TV0212,20-05-2016,Cloacal/throat swab,tuinfluiter,Garden Warbler,Sylvia borin,"Overdinkel, Nederland",9953535
16TV0292,20-05-2016,Cloacal/throat swab,stadsduif,Feral pigeon,Columba livia domestica,"Groningen, Nederland",9958374
16TV0304,21-05-2016,Cloacal/throat swab,kauw,Western Jackdaw,Coloeus monedula,"Utrecht, Nederland",9953653
16TV0285,20-05-2016,Cloacal/throat swab,stadsduif,Feral pigeon,Columba livia domestica,"Groningen, Nederland",9958371
