,ID,capture.date,English,Dutch,Latin,family,order,Lat,Long,PMA.USUV.Ab6000,PMA.WNV.Ab6000,VNT.USUV,VNT.WNV,FRNT.USUV,FRNT.WNV,SeroResult,BirdId
2606,21TV5220,19-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.2547226,4.950720787,1,0,NA,NA,2560,20,USUV,13037796
2607,21TV4547,15-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,53.2547226,4.950720787,1,0,NA,NA,2560,10,USUV,13036888
2608,21TV4548,16-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.2547226,4.950720787,0,0,NA,NA,NA,NA,NA,13037251
2609,21TV4549,16-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.2547226,4.950720787,0,0,NA,NA,NA,NA,NA,13037256
2610,21TV4550,16-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.2547226,4.950720787,0,0,NA,NA,NA,NA,NA,13037258
2611,21TV6096,18-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,53.2547226,4.950720787,0,0,NA,NA,NA,NA,NA,13037627
2612,21TV6097,18-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,53.2547226,4.950720787,0,0,NA,NA,NA,NA,NA,13037628
2613,21TV4551,17-10-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.2434979,5.6343227,0,0,NA,NA,NA,NA,NA,13037442
2614,21TV6098,18-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,53.2547226,4.950720787,0,0,NA,NA,NA,NA,NA,13037629
2615,21TV6099,19-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,53.2547226,4.950720787,0,0,NA,NA,NA,NA,NA,13037702
2616,21TV7345,22-10-2021,Great Spotted Woodpecker,Grote Bonte Specht,Dendrocopos major,Picidae,Piciformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,12806593
2617,21TV7307,24-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.30849075,5.196929932,0,0,NA,NA,NA,NA,NA,13618786
2618,21TV7270,24-10-2021,Little Owl,Steenuil,Athene noctua,Strigidae,Strigiformes,51.8719175,6.3584556,1,1,NA,NA,20,10,Negative,12806900
2619,21TV5682,24-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,12806598
2620,21TV2234,24-10-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.30849075,5.196929932,0,0,NA,NA,NA,NA,NA,13618673
2621,21TV7642,24-10-2021,Eurasian Jay,Gaai,Garrulus glandarius,Corvidae,Passeriformes,52.2369988,7.022559643,0,0,NA,NA,NA,NA,NA,11344517
2622,21TV7320,21-10-2021,Eurasian Jay,Gaai,Garrulus glandarius,Corvidae,Passeriformes,52.2369988,7.022559643,1,1,NA,NA,80,20,Negative,11716803
2623,21TV7312,25-10-2021,Great Spotted Woodpecker,Grote Bonte Specht,Dendrocopos major,Picidae,Piciformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,12817835
2624,21TV7242,24-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,12806599
2625,21TV4759,24-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,52.13453903,5.006324597,0,0,NA,NA,NA,NA,NA,13119178
2626,21TV4760,24-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,52.13453903,5.006324597,0,0,NA,NA,NA,NA,NA,13119179
2627,21TV6449,24-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13616943,5.003493786,1,0,NA,NA,20,10,Negative,13118257
2628,21TV6450,24-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13616943,5.003493786,1,1,NA,NA,20,10,Negative,13119152
2629,21TV4756,24-10-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.13453903,5.006324597,0,0,NA,NA,NA,NA,NA,13119177
2630,21TV4758,24-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13453903,5.006324597,0,0,NA,NA,NA,NA,NA,13119153
2631,21TV6431,23-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,52.13616943,5.003493786,0,0,NA,NA,NA,NA,NA,13119042
